Dataset	Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
20	single-pearson	base	6	1715	10/196759
20	single-pearson	base	6	1683	10/196759
20	single-pearson	base	6	1717	10/196759
20	single-pearson	opt-1	6	486	10/196759
20	single-pearson	opt-1	6	495	10/196759
20	single-pearson	opt-1	6	487	10/196759
20	single-pearson	opt-2	6	471	10/196759
20	single-pearson	opt-2	6	467	10/196759
20	single-pearson	opt-2	6	511	10/196759
20	single-pearson	opt-3	6	470	10/196759
20	single-pearson	opt-3	6	513	10/196759
20	single-pearson	opt-3	6	552	10/196759
20	single-pearson	opt-4	6	511	10/196759
20	single-pearson	opt-4	6	466	10/196759
20	single-pearson	opt-4	6	450	10/196759
20	single-pearson	opt-7	6	306	10/196759
20	single-pearson	opt-7	6	326	10/196759
20	single-pearson	opt-7	6	305	10/196759
20	single-pearson	R_WGCNA	6	1484	84/196759 
20	single-pearson	R_WGCNA	6	1187	84/196759 
20	single-pearson	R_WGCNA	6	812.000000000001	84/196759 
20	single-kendalls	base	6	16713	0/196759
20	single-kendalls	base	6	17044	0/196759
20	single-kendalls	base	6	16625	0/196759
20	single-kendalls	opt-1	6	4318	0/196759
20	single-kendalls	opt-1	6	5279	0/196759
20	single-kendalls	opt-1	6	5293	0/196759
20	single-kendalls	opt-2	6	4856	0/196759
20	single-kendalls	opt-2	6	5386	0/196759
20	single-kendalls	opt-2	6	5501	0/196759
20	single-kendalls	opt-3	6	5798	0/196759
20	single-kendalls	opt-3	6	5691	0/196759
20	single-kendalls	opt-3	6	6292	0/196759
20	single-kendalls	opt-4	6	5581	0/196759
20	single-kendalls	opt-4	6	5601	0/196759
20	single-kendalls	opt-4	6	5226	0/196759
20	single-kendalls	opt-5	6	5092	0/196759
20	single-kendalls	opt-5	6	5063	0/196759
20	single-kendalls	opt-5	6	5036	0/196759
20	single-kendalls	opt-6	6	4723	0/196759
20	single-kendalls	opt-6	6	4655	0/196759
20	single-kendalls	opt-6	6	4728	0/196759
20	single-kendalls	R_WGCNA	6	979258	0/196759 
20	single-kendalls	R_WGCNA	6	974852	0/196759 
20	single-kendalls	R_WGCNA	6	919583	0/196759 
20	single-spearman	base	6	19614	10/196759
20	single-spearman	base	6	19587	10/196759
20	single-spearman	base	6	19582	10/196759
20	single-spearman	opt-1	6	4867	10/196759
20	single-spearman	opt-1	6	4884	10/196759
