Dataset	Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
100	single-pearson	opt-1	6	2532	0/1002819
100	single-pearson	opt-1	6	2500	0/1002819
100	single-pearson	opt-1	6	2600	0/1002819
100	single-pearson	opt-1	6	2300	0/1002819
100	single-pearson	opt-1	6	2350	0/1002819
100	single-pearson	opt-2	6	2606	0/1002819
100	single-pearson	opt-2	6	2800	0/1002819
100	single-pearson	opt-2	6	2601	0/1002819
100	single-pearson	opt-2	6	2658	0/1002819
100	single-pearson	opt-2	6	2700	0/1002819
100	single-pearson	opt-2	6	2650	0/1002819
100	single-pearson	opt-3	6	2493	0/1002819
100	single-pearson	opt-3	6	2500	0/1002819
100	single-pearson	opt-3	6	2499	0/1002819
100	single-pearson	opt-3	6	2450	0/1002819
100	single-pearson	opt-3	6	2399	0/1002819
100	single-pearson	opt-3	6	2494	0/1002819
100	single-pearson	opt-4	6	2170	0/1002819
100	single-pearson	opt-4	6	2199	0/1002819
100	single-pearson	opt-4	6	2095	0/1002819
100	single-pearson	opt-4	6	2080	0/1002819
100	single-pearson	opt-4	6	2100	0/1002819
100	single-pearson	opt-4	6	2210	0/1002819
100	single-pearson	opt-7	6	1550	0/1002819
100	single-pearson	opt-7	6	1513	0/1002819
100	single-pearson	opt-7	6	1599	0/1002819
100	single-pearson	opt-7	6	1450	0/1002819
100	single-pearson	opt-7	6	1495	0/1002819
100	single-pearson	opt-7	6	1560	0/1002819
100	single-kendalls	opt-1	6	21560	0/1002819
100	single-kendalls	opt-2	6	24098	0/1002819
100	single-kendalls	opt-3	6	24768	0/1002819
100	single-kendalls	opt-4	6	24570	0/1002819
100	single-kendalls	opt-5	6	24458	0/1002819
100	single-kendalls	opt-6	6	22855	0/1002819
100	single-spearman	opt-1	6	31209	1/1002819
100	single-spearman	opt-2	6	29719	1/1002819
100	single-spearman	opt-3	6	29292	1/1002819
100	single-spearman	opt-4	6	29280	1/1002819
100	single-pearson	opt-1	8	2316	0/1002819
100	single-pearson	opt-2	8	2252	0/1002819
100	single-pearson	opt-3	8	2267	0/1002819
100	single-pearson	opt-4	8	2006	0/1002819
100	single-pearson	opt-7	8	1430	0/1002819
100	single-kendalls	opt-1	8	21664	0/1002819
100	single-kendalls	opt-2	8	21398	0/1002819
100	single-kendalls	opt-3	8	22904	0/1002819
100	single-kendalls	opt-4	8	22790	0/1002819
100	single-kendalls	opt-5	8	22024	0/1002819
100	single-kendalls	opt-6	8	20599	0/1002819
100	single-spearman	opt-1	8	26532	1/1002819
100	single-spearman	opt-2	8	26508	1/1002819
100	single-spearman	opt-3	8	26605	1/1002819
100	single-spearman	opt-4	8	26209	1/1002819
500	single-pearson	opt-1	6	14472	2/5014259
500	single-pearson	opt-2	6	14467	2/5014259
500	single-pearson	opt-3	6	13954	2/5014259
500	single-pearson	opt-4	6	13093	2/5014259
500	single-pearson	opt-7	6	9164	2/5014259
500	single-kendalls	opt-1	6	121221	0/5014259
500	single-kendalls	opt-2	6	119446	0/5014259
500	single-kendalls	opt-3	6	123809	0/5014259
500	single-kendalls	opt-4	6	121725	0/5014259
500	single-kendalls	opt-5	6	123010	0/5014259
500	single-kendalls	opt-6	6	113697	0/5014259
500	single-spearman	opt-1	6	148209	6/5014259
500	single-spearman	opt-2	6	148412	6/5014259
500	single-spearman	opt-3	6	146543	6/5014259
500	single-spearman	opt-4	6	146419	6/5014259
500	single-pearson	opt-1	8	13342	2/5014259
500	single-pearson	opt-2	8	13523	2/5014259
500	single-pearson	opt-3	8	13015	2/5014259
500	single-pearson	opt-4	8	12258	2/5014259
500	single-pearson	opt-7	8	9016	2/5014259
500	single-kendalls	opt-1	8	110261	0/5014259
500	single-kendalls	opt-2	8	109028	0/5014259
500	single-kendalls	opt-3	8	113011	0/5014259
500	single-kendalls	opt-4	8	113446	0/5014259
500	single-kendalls	opt-5	8	112337	0/5014259
500	single-kendalls	opt-6	8	103959	0/5014259
500	single-spearman	opt-1	8	133756	6/5014259
500	single-spearman	opt-2	8	133591	6/5014259
500	single-spearman	opt-3	8	130728	6/5014259
500	single-spearman	opt-4	8	133389	6/5014259
